[INFO] [474.290] - Start new burst interval
[INFO] [474.290] - IMU file name: /home/pi/microSWIFT/data/006_Imu_21Sep2020_13:00:00UTC_burst_12.dat
[INFO] [474.290] - IMU ON
[INFO] [474.553] - Num of samples: 1, Wanted samples: 2048
[INFO] [474.823] - Num of samples: 2, Wanted samples: 2048
[INFO] [475.108] - Num of samples: 3, Wanted samples: 2048
[INFO] [475.380] - Num of samples: 4, Wanted samples: 2048
[INFO] [475.662] - Num of samples: 5, Wanted samples: 2048
[INFO] [475.955] - Num of samples: 6, Wanted samples: 2048
[INFO] [476.228] - Num of samples: 7, Wanted samples: 2048
[INFO] [476.505] - Num of samples: 8, Wanted samples: 2048
[INFO] [476.785] - Num of samples: 9, Wanted samples: 2048
[INFO] [477.050] - Num of samples: 10, Wanted samples: 2048
[INFO] [477.324] - Num of samples: 11, Wanted samples: 2048
[INFO] [477.591] - Num of samples: 12, Wanted samples: 2048
[INFO] [477.859] - Num of samples: 13, Wanted samples: 2048
[INFO] [478.127] - Num of samples: 14, Wanted samples: 2048
[INFO] [478.397] - Num of samples: 15, Wanted samples: 2048
[INFO] [478.665] - Num of samples: 16, Wanted samples: 2048
[INFO] [478.933] - Num of samples: 17, Wanted samples: 2048
[INFO] [479.211] - Num of samples: 18, Wanted samples: 2048
[INFO] [479.478] - Num of samples: 19, Wanted samples: 2048
[INFO] [479.747] - Num of samples: 20, Wanted samples: 2048
[INFO] [480.014] - Num of samples: 21, Wanted samples: 2048
[INFO] [480.281] - Num of samples: 22, Wanted samples: 2048
[INFO] [480.555] - Num of samples: 23, Wanted samples: 2048
[INFO] [480.835] - Num of samples: 24, Wanted samples: 2048
[INFO] [481.119] - Num of samples: 25, Wanted samples: 2048
[INFO] [481.410] - Num of samples: 26, Wanted samples: 2048
[INFO] [481.724] - Num of samples: 27, Wanted samples: 2048
[INFO] [482.011] - Num of samples: 28, Wanted samples: 2048
[INFO] [482.294] - Num of samples: 29, Wanted samples: 2048
[INFO] [482.565] - Num of samples: 30, Wanted samples: 2048
[INFO] [482.842] - Num of samples: 31, Wanted samples: 2048
[INFO] [483.125] - Num of samples: 32, Wanted samples: 2048
[INFO] [483.404] - Num of samples: 33, Wanted samples: 2048
[INFO] [483.681] - Num of samples: 34, Wanted samples: 2048
[INFO] [483.965] - Num of samples: 35, Wanted samples: 2048
[INFO] [484.242] - Num of samples: 36, Wanted samples: 2048
[INFO] [484.525] - Num of samples: 37, Wanted samples: 2048
[INFO] [484.809] - Num of samples: 38, Wanted samples: 2048
[INFO] [485.094] - Num of samples: 39, Wanted samples: 2048
[INFO] [485.396] - Num of samples: 40, Wanted samples: 2048
[INFO] [485.677] - Num of samples: 41, Wanted samples: 2048
[INFO] [485.968] - Num of samples: 42, Wanted samples: 2048
[INFO] [486.242] - Num of samples: 43, Wanted samples: 2048
[INFO] [486.524] - Num of samples: 44, Wanted samples: 2048
[INFO] [486.809] - Num of samples: 45, Wanted samples: 2048
[INFO] [487.095] - Num of samples: 46, Wanted samples: 2048
