[INFO] [542.404] - Start new burst interval
[INFO] [542.404] - IMU file name: /home/pi/microSWIFT/data/006_Imu_12Nov2020_11:12:00UTC_burst_12.dat
[INFO] [542.404] - IMU ON
[INFO] [542.667] - Num of samples: 1, Wanted samples: 2048
[INFO] [542.953] - Num of samples: 2, Wanted samples: 2048
[INFO] [543.236] - Num of samples: 3, Wanted samples: 2048
[INFO] [543.515] - Num of samples: 4, Wanted samples: 2048
[INFO] [543.803] - Num of samples: 5, Wanted samples: 2048
[INFO] [544.071] - Num of samples: 6, Wanted samples: 2048
[INFO] [544.350] - Num of samples: 7, Wanted samples: 2048
[INFO] [544.616] - Num of samples: 8, Wanted samples: 2048
[INFO] [544.882] - Num of samples: 9, Wanted samples: 2048
[INFO] [545.148] - Num of samples: 10, Wanted samples: 2048
[INFO] [545.414] - Num of samples: 11, Wanted samples: 2048
[INFO] [545.679] - Num of samples: 12, Wanted samples: 2048
[INFO] [545.946] - Num of samples: 13, Wanted samples: 2048
[INFO] [546.221] - Num of samples: 14, Wanted samples: 2048
[INFO] [546.503] - Num of samples: 15, Wanted samples: 2048
[INFO] [546.771] - Num of samples: 16, Wanted samples: 2048
[INFO] [547.038] - Num of samples: 17, Wanted samples: 2048
[INFO] [547.303] - Num of samples: 18, Wanted samples: 2048
[INFO] [547.568] - Num of samples: 19, Wanted samples: 2048
[INFO] [547.837] - Num of samples: 20, Wanted samples: 2048
[INFO] [548.112] - Num of samples: 21, Wanted samples: 2048
[INFO] [548.380] - Num of samples: 22, Wanted samples: 2048
[INFO] [548.676] - Num of samples: 23, Wanted samples: 2048
[INFO] [548.954] - Num of samples: 24, Wanted samples: 2048
[INFO] [549.238] - Num of samples: 25, Wanted samples: 2048
[INFO] [549.506] - Num of samples: 26, Wanted samples: 2048
[INFO] [549.783] - Num of samples: 27, Wanted samples: 2048
[INFO] [550.059] - Num of samples: 28, Wanted samples: 2048
[INFO] [550.327] - Num of samples: 29, Wanted samples: 2048
[INFO] [550.611] - Num of samples: 30, Wanted samples: 2048
[INFO] [550.884] - Num of samples: 31, Wanted samples: 2048
[INFO] [551.155] - Num of samples: 32, Wanted samples: 2048
[INFO] [551.424] - Num of samples: 33, Wanted samples: 2048
[INFO] [551.717] - Num of samples: 34, Wanted samples: 2048
[INFO] [551.997] - Num of samples: 35, Wanted samples: 2048
[INFO] [552.265] - Num of samples: 36, Wanted samples: 2048
[INFO] [552.539] - Num of samples: 37, Wanted samples: 2048
[INFO] [552.809] - Num of samples: 38, Wanted samples: 2048
[INFO] [553.077] - Num of samples: 39, Wanted samples: 2048
[INFO] [553.362] - Num of samples: 40, Wanted samples: 2048
[INFO] [553.649] - Num of samples: 41, Wanted samples: 2048
[INFO] [553.917] - Num of samples: 42, Wanted samples: 2048
[INFO] [554.197] - Num of samples: 43, Wanted samples: 2048
[INFO] [554.474] - Num of samples: 44, Wanted samples: 2048
[INFO] [554.742] - Num of samples: 45, Wanted samples: 2048
[INFO] [555.027] - Num of samples: 46, Wanted samples: 2048
[INFO] [555.305] - Num of samples: 47, Wanted samples: 2048
[INFO] [555.574] - Num of samples: 48, Wanted samples: 2048
[INFO] [555.858] - Num of samples: 49, Wanted samples: 2048
[INFO] [556.132] - Num of samples: 50, Wanted samples: 2048
[INFO] [556.401] - Num of samples: 51, Wanted samples: 2048
[INFO] [556.677] - Num of samples: 52, Wanted samples: 2048
[INFO] [556.959] - Num of samples: 53, Wanted samples: 2048
[INFO] [557.275] - Num of samples: 54, Wanted samples: 2048
[INFO] [557.545] - Num of samples: 55, Wanted samples: 2048
[INFO] [557.813] - Num of samples: 56, Wanted samples: 2048
[INFO] [558.086] - Num of samples: 57, Wanted samples: 2048
[INFO] [558.364] - Num of samples: 58, Wanted samples: 2048
[INFO] [558.636] - Num of samples: 59, Wanted samples: 2048
[INFO] [558.911] - Num of samples: 60, Wanted samples: 2048
[INFO] [559.179] - Num of samples: 61, Wanted samples: 2048
[INFO] [559.447] - Num of samples: 62, Wanted samples: 2048
[INFO] [559.716] - Num of samples: 63, Wanted samples: 2048
[INFO] [559.995] - Num of samples: 64, Wanted samples: 2048
[INFO] [560.266] - Num of samples: 65, Wanted samples: 2048
[INFO] [560.545] - Num of samples: 66, Wanted samples: 2048
[INFO] [560.825] - Num of samples: 67, Wanted samples: 2048
[INFO] [561.137] - Num of samples: 68, Wanted samples: 2048
[INFO] [561.421] - Num of samples: 69, Wanted samples: 2048
[INFO] [561.689] - Num of samples: 70, Wanted samples: 2048
[INFO] [561.957] - Num of samples: 71, Wanted samples: 2048
[INFO] [562.224] - Num of samples: 72, Wanted samples: 2048
[INFO] [562.492] - Num of samples: 73, Wanted samples: 2048
[INFO] [562.760] - Num of samples: 74, Wanted samples: 2048
[INFO] [563.028] - Num of samples: 75, Wanted samples: 2048
[INFO] [563.306] - Num of samples: 76, Wanted samples: 2048
[INFO] [563.604] - Num of samples: 77, Wanted samples: 2048
[INFO] [563.887] - Num of samples: 78, Wanted samples: 2048
[INFO] [564.159] - Num of samples: 79, Wanted samples: 2048
[INFO] [564.427] - Num of samples: 80, Wanted samples: 2048
[INFO] [564.695] - Num of samples: 81, Wanted samples: 2048
[INFO] [564.967] - Num of samples: 82, Wanted samples: 2048
[INFO] [565.235] - Num of samples: 83, Wanted samples: 2048
[INFO] [565.504] - Num of samples: 84, Wanted samples: 2048
[INFO] [565.782] - Num of samples: 85, Wanted samples: 2048
[INFO] [566.062] - Num of samples: 86, Wanted samples: 2048
[INFO] [566.341] - Num of samples: 87, Wanted samples: 2048
[INFO] [566.618] - Num of samples: 88, Wanted samples: 2048
[INFO] [566.911] - Num of samples: 89, Wanted samples: 2048
[INFO] [567.185] - Num of samples: 90, Wanted samples: 2048
[INFO] [567.461] - Num of samples: 91, Wanted samples: 2048
[INFO] [567.737] - Num of samples: 92, Wanted samples: 2048
[INFO] [568.011] - Num of samples: 93, Wanted samples: 2048
[INFO] [568.290] - Num of samples: 94, Wanted samples: 2048
