[INFO] [2388021.302] - FileName: /home/pi/microSWIFT/data/003_Temp_21Sep2020_12:00:00UTC_burst_12.dat
[INFO] [2388021.515] - num sample: 0, num sample needed: 2048
[INFO] [2388021.780] - num sample: 1, num sample needed: 2048
[INFO] [2388022.032] - num sample: 2, num sample needed: 2048
[INFO] [2388022.284] - num sample: 3, num sample needed: 2048
[INFO] [2388022.536] - num sample: 4, num sample needed: 2048
[INFO] [2388022.788] - num sample: 5, num sample needed: 2048
[INFO] [2388023.040] - num sample: 6, num sample needed: 2048
[INFO] [2388023.292] - num sample: 7, num sample needed: 2048
[INFO] [2388023.544] - num sample: 8, num sample needed: 2048
[INFO] [2388023.796] - num sample: 9, num sample needed: 2048
[INFO] [2388024.048] - num sample: 10, num sample needed: 2048
[INFO] [2388024.300] - num sample: 11, num sample needed: 2048
[INFO] [2388024.552] - num sample: 12, num sample needed: 2048
[INFO] [2388024.804] - num sample: 13, num sample needed: 2048
[INFO] [2388025.057] - num sample: 14, num sample needed: 2048
[INFO] [2388025.308] - num sample: 15, num sample needed: 2048
[INFO] [2388025.561] - num sample: 16, num sample needed: 2048
[INFO] [2388025.812] - num sample: 17, num sample needed: 2048
[INFO] [2388026.065] - num sample: 18, num sample needed: 2048
[INFO] [2388026.317] - num sample: 19, num sample needed: 2048
[INFO] [2388026.569] - num sample: 20, num sample needed: 2048
[INFO] [2388026.821] - num sample: 21, num sample needed: 2048
[INFO] [2388027.073] - num sample: 22, num sample needed: 2048
[INFO] [2388027.325] - num sample: 23, num sample needed: 2048
[INFO] [2388027.577] - num sample: 24, num sample needed: 2048
[INFO] [2388027.829] - num sample: 25, num sample needed: 2048
[INFO] [2388028.080] - num sample: 26, num sample needed: 2048
[INFO] [2388028.332] - num sample: 27, num sample needed: 2048
[INFO] [2388028.584] - num sample: 28, num sample needed: 2048
[INFO] [2388028.836] - num sample: 29, num sample needed: 2048
[INFO] [2388029.089] - num sample: 30, num sample needed: 2048
[INFO] [2388029.341] - num sample: 31, num sample needed: 2048
[INFO] [2388029.593] - num sample: 32, num sample needed: 2048
[INFO] [2388029.845] - num sample: 33, num sample needed: 2048
[INFO] [2388030.096] - num sample: 34, num sample needed: 2048
[INFO] [2388030.349] - num sample: 35, num sample needed: 2048
[INFO] [2388030.600] - num sample: 36, num sample needed: 2048
[INFO] [2388030.853] - num sample: 37, num sample needed: 2048
[INFO] [2388031.105] - num sample: 38, num sample needed: 2048
[INFO] [2388031.357] - num sample: 39, num sample needed: 2048
[INFO] [2388031.609] - num sample: 40, num sample needed: 2048
[INFO] [2388031.861] - num sample: 41, num sample needed: 2048
[INFO] [2388032.113] - num sample: 42, num sample needed: 2048
[INFO] [2388032.365] - num sample: 43, num sample needed: 2048
[INFO] [2388032.617] - num sample: 44, num sample needed: 2048
[INFO] [2388032.869] - num sample: 45, num sample needed: 2048
[INFO] [2388033.121] - num sample: 46, num sample needed: 2048
[INFO] [2388033.373] - num sample: 47, num sample needed: 2048
[INFO] [2388033.625] - num sample: 48, num sample needed: 2048
[INFO] [2388033.877] - num sample: 49, num sample needed: 2048
[INFO] [2388034.129] - num sample: 50, num sample needed: 2048
[INFO] [2388034.381] - num sample: 51, num sample needed: 2048
[INFO] [2388034.633] - num sample: 52, num sample needed: 2048
[INFO] [2388034.885] - num sample: 53, num sample needed: 2048
[INFO] [2388035.137] - num sample: 54, num sample needed: 2048
[INFO] [2388035.389] - num sample: 55, num sample needed: 2048
[INFO] [2388035.641] - num sample: 56, num sample needed: 2048
[INFO] [2388035.893] - num sample: 57, num sample needed: 2048
[INFO] [2388036.145] - num sample: 58, num sample needed: 2048
[INFO] [2388036.397] - num sample: 59, num sample needed: 2048
[INFO] [2388036.649] - num sample: 60, num sample needed: 2048
[INFO] [2388036.901] - num sample: 61, num sample needed: 2048
[INFO] [2388037.153] - num sample: 62, num sample needed: 2048
[INFO] [2388037.405] - num sample: 63, num sample needed: 2048
[INFO] [2388037.657] - num sample: 64, num sample needed: 2048
[INFO] [2388037.909] - num sample: 65, num sample needed: 2048
[INFO] [2388038.161] - num sample: 66, num sample needed: 2048
[INFO] [2388038.413] - num sample: 67, num sample needed: 2048
[INFO] [2388038.665] - num sample: 68, num sample needed: 2048
[INFO] [2388038.917] - num sample: 69, num sample needed: 2048
[INFO] [2388039.169] - num sample: 70, num sample needed: 2048
[INFO] [2388039.421] - num sample: 71, num sample needed: 2048
[INFO] [2388039.673] - num sample: 72, num sample needed: 2048
[INFO] [2388039.925] - num sample: 73, num sample needed: 2048
[INFO] [2388040.177] - num sample: 74, num sample needed: 2048
[INFO] [2388040.429] - num sample: 75, num sample needed: 2048
[INFO] [2388040.681] - num sample: 76, num sample needed: 2048
[INFO] [2388040.933] - num sample: 77, num sample needed: 2048
[INFO] [2388041.185] - num sample: 78, num sample needed: 2048
[INFO] [2388041.437] - num sample: 79, num sample needed: 2048
[INFO] [2388041.689] - num sample: 80, num sample needed: 2048
[INFO] [2388041.941] - num sample: 81, num sample needed: 2048
[INFO] [2388042.193] - num sample: 82, num sample needed: 2048
[INFO] [2388042.446] - num sample: 83, num sample needed: 2048
[INFO] [2388042.699] - num sample: 84, num sample needed: 2048
[INFO] [2388042.951] - num sample: 85, num sample needed: 2048
[INFO] [2388043.203] - num sample: 86, num sample needed: 2048
[INFO] [2388043.456] - num sample: 87, num sample needed: 2048
[INFO] [2388043.708] - num sample: 88, num sample needed: 2048
[INFO] [2388043.960] - num sample: 89, num sample needed: 2048
[INFO] [2388044.212] - num sample: 90, num sample needed: 2048
[INFO] [2388044.464] - num sample: 91, num sample needed: 2048
[INFO] [2388044.716] - num sample: 92, num sample needed: 2048
[INFO] [2388044.968] - num sample: 93, num sample needed: 2048
[INFO] [2388045.220] - num sample: 94, num sample needed: 2048
[INFO] [2388045.472] - num sample: 95, num sample needed: 2048
[INFO] [2388045.728] - num sample: 96, num sample needed: 2048
[INFO] [2388045.980] - num sample: 97, num sample needed: 2048
[INFO] [2388046.232] - num sample: 98, num sample needed: 2048
[INFO] [2388046.485] - num sample: 99, num sample needed: 2048
[INFO] [2388046.737] - num sample: 100, num sample needed: 2048
[INFO] [2388046.989] - num sample: 101, num sample needed: 2048
[INFO] [2388047.241] - num sample: 102, num sample needed: 2048
[INFO] [2388047.493] - num sample: 103, num sample needed: 2048
[INFO] [2388047.745] - num sample: 104, num sample needed: 2048
[INFO] [2388047.997] - num sample: 105, num sample needed: 2048
[INFO] [2388048.249] - num sample: 106, num sample needed: 2048
[INFO] [2388048.501] - num sample: 107, num sample needed: 2048
[INFO] [2388048.753] - num sample: 108, num sample needed: 2048
[INFO] [2388049.005] - num sample: 109, num sample needed: 2048
[INFO] [2388049.257] - num sample: 110, num sample needed: 2048
[INFO] [2388049.509] - num sample: 111, num sample needed: 2048
[INFO] [2388049.761] - num sample: 112, num sample needed: 2048
[INFO] [2388050.013] - num sample: 113, num sample needed: 2048
[INFO] [2388050.265] - num sample: 114, num sample needed: 2048
[INFO] [2388050.517] - num sample: 115, num sample needed: 2048
[INFO] [2388050.770] - num sample: 116, num sample needed: 2048
[INFO] [2388051.022] - num sample: 117, num sample needed: 2048
[INFO] [2388051.274] - num sample: 118, num sample needed: 2048
[INFO] [2388051.526] - num sample: 119, num sample needed: 2048
[INFO] [2388051.778] - num sample: 120, num sample needed: 2048
[INFO] [2388052.030] - num sample: 121, num sample needed: 2048
[INFO] [2388052.282] - num sample: 122, num sample needed: 2048
[INFO] [2388052.534] - num sample: 123, num sample needed: 2048
[INFO] [2388052.797] - num sample: 124, num sample needed: 2048
[INFO] [2388053.049] - num sample: 125, num sample needed: 2048
[INFO] [2388053.301] - num sample: 126, num sample needed: 2048
[INFO] [2388053.553] - num sample: 127, num sample needed: 2048
[INFO] [2388053.805] - num sample: 128, num sample needed: 2048
[INFO] [2388054.057] - num sample: 129, num sample needed: 2048
[INFO] [2388054.309] - num sample: 130, num sample needed: 2048
[INFO] [2388054.561] - num sample: 131, num sample needed: 2048
[INFO] [2388054.813] - num sample: 132, num sample needed: 2048
[INFO] [2388055.065] - num sample: 133, num sample needed: 2048
[INFO] [2388055.317] - num sample: 134, num sample needed: 2048
[INFO] [2388055.569] - num sample: 135, num sample needed: 2048
[INFO] [2388055.821] - num sample: 136, num sample needed: 2048
[INFO] [2388056.073] - num sample: 137, num sample needed: 2048
[INFO] [2388056.325] - num sample: 138, num sample needed: 2048
[INFO] [2388056.577] - num sample: 139, num sample needed: 2048
[INFO] [2388056.829] - num sample: 140, num sample needed: 2048
[INFO] [2388057.081] - num sample: 141, num sample needed: 2048
[INFO] [2388057.333] - num sample: 142, num sample needed: 2048
[INFO] [2388057.585] - num sample: 143, num sample needed: 2048
[INFO] [2388057.837] - num sample: 144, num sample needed: 2048
[INFO] [2388058.088] - num sample: 145, num sample needed: 2048
[INFO] [2388058.340] - num sample: 146, num sample needed: 2048
[INFO] [2388058.592] - num sample: 147, num sample needed: 2048
[INFO] [2388058.844] - num sample: 148, num sample needed: 2048
[INFO] [2388059.096] - num sample: 149, num sample needed: 2048
[INFO] [2388059.348] - num sample: 150, num sample needed: 2048
[INFO] [2388059.600] - num sample: 151, num sample needed: 2048
[INFO] [2388059.900] - num sample: 152, num sample needed: 2048
[INFO] [2388060.152] - num sample: 153, num sample needed: 2048
[INFO] [2388060.405] - num sample: 154, num sample needed: 2048
[INFO] [2388060.656] - num sample: 155, num sample needed: 2048
[INFO] [2388060.909] - num sample: 156, num sample needed: 2048
[INFO] [2388061.161] - num sample: 157, num sample needed: 2048
[INFO] [2388061.413] - num sample: 158, num sample needed: 2048
[INFO] [2388061.665] - num sample: 159, num sample needed: 2048
[INFO] [2388061.917] - num sample: 160, num sample needed: 2048
[INFO] [2388062.169] - num sample: 161, num sample needed: 2048
[INFO] [2388062.422] - num sample: 162, num sample needed: 2048
[INFO] [2388062.674] - num sample: 163, num sample needed: 2048
[INFO] [2388062.926] - num sample: 164, num sample needed: 2048
[INFO] [2388063.178] - num sample: 165, num sample needed: 2048
[INFO] [2388063.430] - num sample: 166, num sample needed: 2048
[INFO] [2388063.682] - num sample: 167, num sample needed: 2048
[INFO] [2388063.935] - num sample: 168, num sample needed: 2048
[INFO] [2388064.187] - num sample: 169, num sample needed: 2048
[INFO] [2388064.439] - num sample: 170, num sample needed: 2048
[INFO] [2388064.691] - num sample: 171, num sample needed: 2048
