[INFO] [39.050] - FileName: /home/pi/microSWIFT/data/006_Temp_16Nov2020_20:30:00UTC_burst_3.dat
[INFO] [39.053] - num sample: 0, num sample needed: 360
[INFO] [40.087] - num sample: 1, num sample needed: 360
[INFO] [41.094] - num sample: 2, num sample needed: 360
[INFO] [42.101] - num sample: 3, num sample needed: 360
[INFO] [43.108] - num sample: 4, num sample needed: 360
[INFO] [44.115] - num sample: 5, num sample needed: 360
[INFO] [45.123] - num sample: 6, num sample needed: 360
[INFO] [46.130] - num sample: 7, num sample needed: 360
[INFO] [47.152] - num sample: 8, num sample needed: 360
[INFO] [48.160] - num sample: 9, num sample needed: 360
[INFO] [49.182] - num sample: 10, num sample needed: 360
[INFO] [50.190] - num sample: 11, num sample needed: 360
[INFO] [51.209] - num sample: 12, num sample needed: 360
[INFO] [52.228] - num sample: 13, num sample needed: 360
[INFO] [53.235] - num sample: 14, num sample needed: 360
[INFO] [54.243] - num sample: 15, num sample needed: 360
[INFO] [55.255] - num sample: 16, num sample needed: 360
[INFO] [56.262] - num sample: 17, num sample needed: 360
[INFO] [57.269] - num sample: 18, num sample needed: 360
[INFO] [58.285] - num sample: 19, num sample needed: 360
[INFO] [59.305] - num sample: 20, num sample needed: 360
[INFO] [60.312] - num sample: 21, num sample needed: 360
[INFO] [61.322] - num sample: 22, num sample needed: 360
[INFO] [62.330] - num sample: 23, num sample needed: 360
[INFO] [63.347] - num sample: 24, num sample needed: 360
[INFO] [64.369] - num sample: 25, num sample needed: 360
[INFO] [65.388] - num sample: 26, num sample needed: 360
[INFO] [66.395] - num sample: 27, num sample needed: 360
[INFO] [67.402] - num sample: 28, num sample needed: 360
[INFO] [68.430] - num sample: 29, num sample needed: 360
[INFO] [69.456] - num sample: 30, num sample needed: 360
[INFO] [70.464] - num sample: 31, num sample needed: 360
[INFO] [71.471] - num sample: 32, num sample needed: 360
[INFO] [72.483] - num sample: 33, num sample needed: 360
[INFO] [73.495] - num sample: 34, num sample needed: 360
[INFO] [74.502] - num sample: 35, num sample needed: 360
[INFO] [75.511] - num sample: 36, num sample needed: 360
[INFO] [76.529] - num sample: 37, num sample needed: 360
[INFO] [77.552] - num sample: 38, num sample needed: 360
[INFO] [78.562] - num sample: 39, num sample needed: 360
[INFO] [79.570] - num sample: 40, num sample needed: 360
[INFO] [80.609] - num sample: 41, num sample needed: 360
[INFO] [81.632] - num sample: 42, num sample needed: 360
[INFO] [82.640] - num sample: 43, num sample needed: 360
[INFO] [83.662] - num sample: 44, num sample needed: 360
[INFO] [84.680] - num sample: 45, num sample needed: 360
[INFO] [85.700] - num sample: 46, num sample needed: 360
[INFO] [86.719] - num sample: 47, num sample needed: 360
[INFO] [87.747] - num sample: 48, num sample needed: 360
[INFO] [88.754] - num sample: 49, num sample needed: 360
[INFO] [89.762] - num sample: 50, num sample needed: 360
[INFO] [90.773] - num sample: 51, num sample needed: 360
[INFO] [91.782] - num sample: 52, num sample needed: 360
[INFO] [92.804] - num sample: 53, num sample needed: 360
[INFO] [93.812] - num sample: 54, num sample needed: 360
[INFO] [94.821] - num sample: 55, num sample needed: 360
[INFO] [95.830] - num sample: 56, num sample needed: 360
[INFO] [96.844] - num sample: 57, num sample needed: 360
[INFO] [97.851] - num sample: 58, num sample needed: 360
[INFO] [98.859] - num sample: 59, num sample needed: 360
[INFO] [99.870] - num sample: 60, num sample needed: 360
[INFO] [100.887] - num sample: 61, num sample needed: 360
[INFO] [101.894] - num sample: 62, num sample needed: 360
[INFO] [102.902] - num sample: 63, num sample needed: 360
[INFO] [103.923] - num sample: 64, num sample needed: 360
[INFO] [104.931] - num sample: 65, num sample needed: 360
[INFO] [105.948] - num sample: 66, num sample needed: 360
[INFO] [106.955] - num sample: 67, num sample needed: 360
[INFO] [107.962] - num sample: 68, num sample needed: 360
[INFO] [108.970] - num sample: 69, num sample needed: 360
[INFO] [109.982] - num sample: 70, num sample needed: 360
[INFO] [110.992] - num sample: 71, num sample needed: 360
[INFO] [112.000] - num sample: 72, num sample needed: 360
[INFO] [113.010] - num sample: 73, num sample needed: 360
[INFO] [114.023] - num sample: 74, num sample needed: 360
[INFO] [115.035] - num sample: 75, num sample needed: 360
[INFO] [116.053] - num sample: 76, num sample needed: 360
[INFO] [117.060] - num sample: 77, num sample needed: 360
[INFO] [118.077] - num sample: 78, num sample needed: 360
[INFO] [119.085] - num sample: 79, num sample needed: 360
[INFO] [120.092] - num sample: 80, num sample needed: 360
[INFO] [121.102] - num sample: 81, num sample needed: 360
[INFO] [122.111] - num sample: 82, num sample needed: 360
[INFO] [123.121] - num sample: 83, num sample needed: 360
[INFO] [124.130] - num sample: 84, num sample needed: 360
[INFO] [125.147] - num sample: 85, num sample needed: 360
[INFO] [126.154] - num sample: 86, num sample needed: 360
[INFO] [127.162] - num sample: 87, num sample needed: 360
[INFO] [128.169] - num sample: 88, num sample needed: 360
[INFO] [129.187] - num sample: 89, num sample needed: 360
[INFO] [130.211] - num sample: 90, num sample needed: 360
[INFO] [131.231] - num sample: 91, num sample needed: 360
[INFO] [132.251] - num sample: 92, num sample needed: 360
[INFO] [133.278] - num sample: 93, num sample needed: 360
[INFO] [134.285] - num sample: 94, num sample needed: 360
[INFO] [135.304] - num sample: 95, num sample needed: 360
[INFO] [136.311] - num sample: 96, num sample needed: 360
[INFO] [137.334] - num sample: 97, num sample needed: 360
[INFO] [138.355] - num sample: 98, num sample needed: 360
[INFO] [139.369] - num sample: 99, num sample needed: 360
[INFO] [140.395] - num sample: 100, num sample needed: 360
[INFO] [141.402] - num sample: 101, num sample needed: 360
[INFO] [142.409] - num sample: 102, num sample needed: 360
[INFO] [143.420] - num sample: 103, num sample needed: 360
[INFO] [144.430] - num sample: 104, num sample needed: 360
[INFO] [145.448] - num sample: 105, num sample needed: 360
[INFO] [146.455] - num sample: 106, num sample needed: 360
[INFO] [147.462] - num sample: 107, num sample needed: 360
[INFO] [148.470] - num sample: 108, num sample needed: 360
[INFO] [149.490] - num sample: 109, num sample needed: 360
[INFO] [150.500] - num sample: 110, num sample needed: 360
[INFO] [151.513] - num sample: 111, num sample needed: 360
[INFO] [152.524] - num sample: 112, num sample needed: 360
