[INFO] [450.792] - Start new burst interval
[INFO] [450.792] - Volt file: /home/pi/microSWIFT/data/006_Volt_21Sep2020_14:00:00UTC_burst_12.dat
[INFO] [450.822] - num sample: 0, num sample needed: 2048
[INFO] [451.084] - num sample: 1, num sample needed: 2048
[INFO] [451.342] - num sample: 2, num sample needed: 2048
[INFO] [451.604] - num sample: 3, num sample needed: 2048
[INFO] [451.866] - num sample: 4, num sample needed: 2048
[INFO] [452.135] - num sample: 5, num sample needed: 2048
[INFO] [452.404] - num sample: 6, num sample needed: 2048
[INFO] [452.662] - num sample: 7, num sample needed: 2048
[INFO] [452.934] - num sample: 8, num sample needed: 2048
[INFO] [453.193] - num sample: 9, num sample needed: 2048
[INFO] [453.454] - num sample: 10, num sample needed: 2048
[INFO] [453.717] - num sample: 11, num sample needed: 2048
[INFO] [453.985] - num sample: 12, num sample needed: 2048
[INFO] [454.243] - num sample: 13, num sample needed: 2048
[INFO] [454.502] - num sample: 14, num sample needed: 2048
[INFO] [454.760] - num sample: 15, num sample needed: 2048
[INFO] [455.021] - num sample: 16, num sample needed: 2048
[INFO] [455.279] - num sample: 17, num sample needed: 2048
[INFO] [455.538] - num sample: 18, num sample needed: 2048
[INFO] [455.804] - num sample: 19, num sample needed: 2048
[INFO] [456.064] - num sample: 20, num sample needed: 2048
[INFO] [456.324] - num sample: 21, num sample needed: 2048
[INFO] [456.585] - num sample: 22, num sample needed: 2048
[INFO] [456.860] - num sample: 23, num sample needed: 2048
[INFO] [457.130] - num sample: 24, num sample needed: 2048
[INFO] [457.412] - num sample: 25, num sample needed: 2048
[INFO] [457.679] - num sample: 26, num sample needed: 2048
[INFO] [457.944] - num sample: 27, num sample needed: 2048
[INFO] [458.210] - num sample: 28, num sample needed: 2048
[INFO] [458.481] - num sample: 29, num sample needed: 2048
[INFO] [458.746] - num sample: 30, num sample needed: 2048
[INFO] [459.018] - num sample: 31, num sample needed: 2048
[INFO] [459.284] - num sample: 32, num sample needed: 2048
[INFO] [459.564] - num sample: 33, num sample needed: 2048
[INFO] [459.836] - num sample: 34, num sample needed: 2048
[INFO] [460.110] - num sample: 35, num sample needed: 2048
[INFO] [460.394] - num sample: 36, num sample needed: 2048
[INFO] [460.652] - num sample: 37, num sample needed: 2048
[INFO] [460.921] - num sample: 38, num sample needed: 2048
[INFO] [461.194] - num sample: 39, num sample needed: 2048
[INFO] [461.453] - num sample: 40, num sample needed: 2048
[INFO] [461.712] - num sample: 41, num sample needed: 2048
[INFO] [461.979] - num sample: 42, num sample needed: 2048
[INFO] [462.247] - num sample: 43, num sample needed: 2048
[INFO] [462.522] - num sample: 44, num sample needed: 2048
[INFO] [462.797] - num sample: 45, num sample needed: 2048
[INFO] [463.064] - num sample: 46, num sample needed: 2048
[INFO] [463.330] - num sample: 47, num sample needed: 2048
[INFO] [463.604] - num sample: 48, num sample needed: 2048
[INFO] [463.868] - num sample: 49, num sample needed: 2048
[INFO] [464.131] - num sample: 50, num sample needed: 2048
[INFO] [464.396] - num sample: 51, num sample needed: 2048
[INFO] [464.664] - num sample: 52, num sample needed: 2048
[INFO] [464.935] - num sample: 53, num sample needed: 2048
[INFO] [465.206] - num sample: 54, num sample needed: 2048
[INFO] [465.474] - num sample: 55, num sample needed: 2048
[INFO] [465.738] - num sample: 56, num sample needed: 2048
[INFO] [466.007] - num sample: 57, num sample needed: 2048
[INFO] [466.280] - num sample: 58, num sample needed: 2048
[INFO] [466.556] - num sample: 59, num sample needed: 2048
[INFO] [466.863] - num sample: 60, num sample needed: 2048
[INFO] [467.123] - num sample: 61, num sample needed: 2048
[INFO] [467.386] - num sample: 62, num sample needed: 2048
[INFO] [467.646] - num sample: 63, num sample needed: 2048
[INFO] [467.907] - num sample: 64, num sample needed: 2048
[INFO] [468.167] - num sample: 65, num sample needed: 2048
[INFO] [468.426] - num sample: 66, num sample needed: 2048
[INFO] [468.689] - num sample: 67, num sample needed: 2048
[INFO] [468.974] - num sample: 68, num sample needed: 2048
[INFO] [469.247] - num sample: 69, num sample needed: 2048
[INFO] [469.513] - num sample: 70, num sample needed: 2048
[INFO] [469.786] - num sample: 71, num sample needed: 2048
[INFO] [470.051] - num sample: 72, num sample needed: 2048
[INFO] [470.316] - num sample: 73, num sample needed: 2048
[INFO] [470.586] - num sample: 74, num sample needed: 2048
[INFO] [470.853] - num sample: 75, num sample needed: 2048
[INFO] [471.124] - num sample: 76, num sample needed: 2048
[INFO] [471.389] - num sample: 77, num sample needed: 2048
[INFO] [471.669] - num sample: 78, num sample needed: 2048
