[INFO] [406.828] - Start new burst interval
[INFO] [406.828] - Volt file: /home/pi/microSWIFT/data/006_Volt_16Nov2020_11:36:00UTC_burst_12.dat
[INFO] [406.849] - num sample: 0, num sample needed: 2048
[INFO] [407.117] - num sample: 1, num sample needed: 2048
[INFO] [407.380] - num sample: 2, num sample needed: 2048
[INFO] [407.646] - num sample: 3, num sample needed: 2048
[INFO] [407.916] - num sample: 4, num sample needed: 2048
[INFO] [408.201] - num sample: 5, num sample needed: 2048
[INFO] [408.475] - num sample: 6, num sample needed: 2048
[INFO] [408.739] - num sample: 7, num sample needed: 2048
[INFO] [409.013] - num sample: 8, num sample needed: 2048
[INFO] [409.276] - num sample: 9, num sample needed: 2048
[INFO] [409.546] - num sample: 10, num sample needed: 2048
[INFO] [409.816] - num sample: 11, num sample needed: 2048
[INFO] [410.086] - num sample: 12, num sample needed: 2048
[INFO] [410.348] - num sample: 13, num sample needed: 2048
[INFO] [410.613] - num sample: 14, num sample needed: 2048
[INFO] [410.889] - num sample: 15, num sample needed: 2048
[INFO] [411.151] - num sample: 16, num sample needed: 2048
[INFO] [411.419] - num sample: 17, num sample needed: 2048
[INFO] [411.678] - num sample: 18, num sample needed: 2048
[INFO] [411.948] - num sample: 19, num sample needed: 2048
[INFO] [412.219] - num sample: 20, num sample needed: 2048
[INFO] [412.506] - num sample: 21, num sample needed: 2048
[INFO] [412.774] - num sample: 22, num sample needed: 2048
[INFO] [413.037] - num sample: 23, num sample needed: 2048
[INFO] [413.306] - num sample: 24, num sample needed: 2048
[INFO] [413.576] - num sample: 25, num sample needed: 2048
[INFO] [413.846] - num sample: 26, num sample needed: 2048
[INFO] [414.104] - num sample: 27, num sample needed: 2048
[INFO] [414.369] - num sample: 28, num sample needed: 2048
[INFO] [414.639] - num sample: 29, num sample needed: 2048
[INFO] [414.897] - num sample: 30, num sample needed: 2048
[INFO] [415.167] - num sample: 31, num sample needed: 2048
[INFO] [415.439] - num sample: 32, num sample needed: 2048
[INFO] [415.716] - num sample: 33, num sample needed: 2048
[INFO] [415.991] - num sample: 34, num sample needed: 2048
[INFO] [416.251] - num sample: 35, num sample needed: 2048
[INFO] [416.515] - num sample: 36, num sample needed: 2048
[INFO] [416.786] - num sample: 37, num sample needed: 2048
[INFO] [417.047] - num sample: 38, num sample needed: 2048
[INFO] [417.319] - num sample: 39, num sample needed: 2048
[INFO] [417.588] - num sample: 40, num sample needed: 2048
[INFO] [417.848] - num sample: 41, num sample needed: 2048
[INFO] [418.109] - num sample: 42, num sample needed: 2048
[INFO] [418.374] - num sample: 43, num sample needed: 2048
[INFO] [418.636] - num sample: 44, num sample needed: 2048
[INFO] [418.894] - num sample: 45, num sample needed: 2048
[INFO] [419.166] - num sample: 46, num sample needed: 2048
[INFO] [419.426] - num sample: 47, num sample needed: 2048
[INFO] [419.686] - num sample: 48, num sample needed: 2048
[INFO] [419.952] - num sample: 49, num sample needed: 2048
[INFO] [420.217] - num sample: 50, num sample needed: 2048
[INFO] [420.478] - num sample: 51, num sample needed: 2048
[INFO] [420.736] - num sample: 52, num sample needed: 2048
[INFO] [420.999] - num sample: 53, num sample needed: 2048
[INFO] [421.266] - num sample: 54, num sample needed: 2048
[INFO] [421.537] - num sample: 55, num sample needed: 2048
[INFO] [421.806] - num sample: 56, num sample needed: 2048
[INFO] [422.076] - num sample: 57, num sample needed: 2048
[INFO] [422.342] - num sample: 58, num sample needed: 2048
[INFO] [422.606] - num sample: 59, num sample needed: 2048
[INFO] [422.953] - num sample: 60, num sample needed: 2048
[INFO] [423.228] - num sample: 61, num sample needed: 2048
[INFO] [423.491] - num sample: 62, num sample needed: 2048
[INFO] [423.754] - num sample: 63, num sample needed: 2048
[INFO] [424.016] - num sample: 64, num sample needed: 2048
[INFO] [424.286] - num sample: 65, num sample needed: 2048
[INFO] [424.550] - num sample: 66, num sample needed: 2048
[INFO] [424.816] - num sample: 67, num sample needed: 2048
[INFO] [425.086] - num sample: 68, num sample needed: 2048
[INFO] [425.346] - num sample: 69, num sample needed: 2048
[INFO] [425.606] - num sample: 70, num sample needed: 2048
[INFO] [425.866] - num sample: 71, num sample needed: 2048
[INFO] [426.128] - num sample: 72, num sample needed: 2048
[INFO] [426.396] - num sample: 73, num sample needed: 2048
[INFO] [426.664] - num sample: 74, num sample needed: 2048
[INFO] [426.948] - num sample: 75, num sample needed: 2048
[INFO] [427.231] - num sample: 76, num sample needed: 2048
[INFO] [427.497] - num sample: 77, num sample needed: 2048
[INFO] [427.774] - num sample: 78, num sample needed: 2048
[INFO] [428.050] - num sample: 79, num sample needed: 2048
[INFO] [428.308] - num sample: 80, num sample needed: 2048
[INFO] [428.574] - num sample: 81, num sample needed: 2048
[INFO] [428.836] - num sample: 82, num sample needed: 2048
[INFO] [429.098] - num sample: 83, num sample needed: 2048
[INFO] [429.358] - num sample: 84, num sample needed: 2048
[INFO] [429.617] - num sample: 85, num sample needed: 2048
[INFO] [429.880] - num sample: 86, num sample needed: 2048
[INFO] [430.147] - num sample: 87, num sample needed: 2048
[INFO] [430.409] - num sample: 88, num sample needed: 2048
[INFO] [430.669] - num sample: 89, num sample needed: 2048
[INFO] [430.943] - num sample: 90, num sample needed: 2048
[INFO] [431.220] - num sample: 91, num sample needed: 2048
[INFO] [431.488] - num sample: 92, num sample needed: 2048
[INFO] [431.755] - num sample: 93, num sample needed: 2048
[INFO] [432.013] - num sample: 94, num sample needed: 2048
[INFO] [432.285] - num sample: 95, num sample needed: 2048
[INFO] [432.550] - num sample: 96, num sample needed: 2048
[INFO] [432.824] - num sample: 97, num sample needed: 2048
[INFO] [433.087] - num sample: 98, num sample needed: 2048
[INFO] [433.357] - num sample: 99, num sample needed: 2048
[INFO] [433.626] - num sample: 100, num sample needed: 2048
[INFO] [433.886] - num sample: 101, num sample needed: 2048
[INFO] [434.149] - num sample: 102, num sample needed: 2048
[INFO] [434.413] - num sample: 103, num sample needed: 2048
[INFO] [434.689] - num sample: 104, num sample needed: 2048
[INFO] [434.965] - num sample: 105, num sample needed: 2048
[INFO] [435.230] - num sample: 106, num sample needed: 2048
[INFO] [435.488] - num sample: 107, num sample needed: 2048
[INFO] [435.748] - num sample: 108, num sample needed: 2048
[INFO] [436.016] - num sample: 109, num sample needed: 2048
[INFO] [436.276] - num sample: 110, num sample needed: 2048
[INFO] [436.549] - num sample: 111, num sample needed: 2048
[INFO] [436.822] - num sample: 112, num sample needed: 2048
[INFO] [437.087] - num sample: 113, num sample needed: 2048
[INFO] [437.347] - num sample: 114, num sample needed: 2048
[INFO] [437.611] - num sample: 115, num sample needed: 2048
[INFO] [437.872] - num sample: 116, num sample needed: 2048
[INFO] [438.132] - num sample: 117, num sample needed: 2048
[INFO] [438.407] - num sample: 118, num sample needed: 2048
[INFO] [438.671] - num sample: 119, num sample needed: 2048
[INFO] [438.932] - num sample: 120, num sample needed: 2048
[INFO] [439.194] - num sample: 121, num sample needed: 2048
[INFO] [439.470] - num sample: 122, num sample needed: 2048
[INFO] [439.728] - num sample: 123, num sample needed: 2048
[INFO] [439.991] - num sample: 124, num sample needed: 2048
[INFO] [440.256] - num sample: 125, num sample needed: 2048
[INFO] [440.516] - num sample: 126, num sample needed: 2048
[INFO] [440.778] - num sample: 127, num sample needed: 2048
[INFO] [441.080] - num sample: 128, num sample needed: 2048
[INFO] [441.351] - num sample: 129, num sample needed: 2048
[INFO] [441.616] - num sample: 130, num sample needed: 2048
[INFO] [441.873] - num sample: 131, num sample needed: 2048
[INFO] [442.133] - num sample: 132, num sample needed: 2048
[INFO] [442.396] - num sample: 133, num sample needed: 2048
[INFO] [442.663] - num sample: 134, num sample needed: 2048
[INFO] [442.928] - num sample: 135, num sample needed: 2048
[INFO] [443.192] - num sample: 136, num sample needed: 2048
[INFO] [443.468] - num sample: 137, num sample needed: 2048
[INFO] [443.730] - num sample: 138, num sample needed: 2048
[INFO] [443.992] - num sample: 139, num sample needed: 2048
[INFO] [444.266] - num sample: 140, num sample needed: 2048
[INFO] [444.537] - num sample: 141, num sample needed: 2048
[INFO] [444.809] - num sample: 142, num sample needed: 2048
[INFO] [445.069] - num sample: 143, num sample needed: 2048
[INFO] [445.334] - num sample: 144, num sample needed: 2048
[INFO] [445.596] - num sample: 145, num sample needed: 2048
[INFO] [445.856] - num sample: 146, num sample needed: 2048
[INFO] [446.126] - num sample: 147, num sample needed: 2048
[INFO] [446.391] - num sample: 148, num sample needed: 2048
[INFO] [446.658] - num sample: 149, num sample needed: 2048
[INFO] [446.926] - num sample: 150, num sample needed: 2048
[INFO] [447.191] - num sample: 151, num sample needed: 2048
[INFO] [447.463] - num sample: 152, num sample needed: 2048
[INFO] [447.724] - num sample: 153, num sample needed: 2048
[INFO] [447.988] - num sample: 154, num sample needed: 2048
[INFO] [448.249] - num sample: 155, num sample needed: 2048
[INFO] [448.510] - num sample: 156, num sample needed: 2048
[INFO] [448.770] - num sample: 157, num sample needed: 2048
[INFO] [449.027] - num sample: 158, num sample needed: 2048
[INFO] [449.287] - num sample: 159, num sample needed: 2048
[INFO] [449.549] - num sample: 160, num sample needed: 2048
[INFO] [449.819] - num sample: 161, num sample needed: 2048
[INFO] [450.078] - num sample: 162, num sample needed: 2048
[INFO] [450.338] - num sample: 163, num sample needed: 2048
[INFO] [450.600] - num sample: 164, num sample needed: 2048
[INFO] [450.866] - num sample: 165, num sample needed: 2048
[INFO] [451.129] - num sample: 166, num sample needed: 2048
[INFO] [451.388] - num sample: 167, num sample needed: 2048
[INFO] [451.645] - num sample: 168, num sample needed: 2048
[INFO] [451.908] - num sample: 169, num sample needed: 2048
[INFO] [452.176] - num sample: 170, num sample needed: 2048
[INFO] [452.441] - num sample: 171, num sample needed: 2048
[INFO] [452.724] - num sample: 172, num sample needed: 2048
[INFO] [453.019] - num sample: 173, num sample needed: 2048
[INFO] [453.289] - num sample: 174, num sample needed: 2048
[INFO] [453.556] - num sample: 175, num sample needed: 2048
[INFO] [453.818] - num sample: 176, num sample needed: 2048
[INFO] [454.080] - num sample: 177, num sample needed: 2048
[INFO] [454.346] - num sample: 178, num sample needed: 2048
[INFO] [454.605] - num sample: 179, num sample needed: 2048
[INFO] [454.865] - num sample: 180, num sample needed: 2048
[INFO] [455.137] - num sample: 181, num sample needed: 2048
[INFO] [455.401] - num sample: 182, num sample needed: 2048
[INFO] [455.661] - num sample: 183, num sample needed: 2048
[INFO] [455.927] - num sample: 184, num sample needed: 2048
[INFO] [456.196] - num sample: 185, num sample needed: 2048
[INFO] [456.471] - num sample: 186, num sample needed: 2048
[INFO] [456.728] - num sample: 187, num sample needed: 2048
[INFO] [456.991] - num sample: 188, num sample needed: 2048
[INFO] [457.256] - num sample: 189, num sample needed: 2048
[INFO] [457.518] - num sample: 190, num sample needed: 2048
[INFO] [457.777] - num sample: 191, num sample needed: 2048
[INFO] [458.037] - num sample: 192, num sample needed: 2048
[INFO] [458.302] - num sample: 193, num sample needed: 2048
[INFO] [458.561] - num sample: 194, num sample needed: 2048
[INFO] [458.827] - num sample: 195, num sample needed: 2048
[INFO] [459.091] - num sample: 196, num sample needed: 2048
[INFO] [459.349] - num sample: 197, num sample needed: 2048
[INFO] [459.610] - num sample: 198, num sample needed: 2048
[INFO] [459.874] - num sample: 199, num sample needed: 2048
[INFO] [460.133] - num sample: 200, num sample needed: 2048
[INFO] [460.393] - num sample: 201, num sample needed: 2048
[INFO] [460.658] - num sample: 202, num sample needed: 2048
[INFO] [460.917] - num sample: 203, num sample needed: 2048
[INFO] [461.186] - num sample: 204, num sample needed: 2048
[INFO] [461.458] - num sample: 205, num sample needed: 2048
[INFO] [461.724] - num sample: 206, num sample needed: 2048
[INFO] [461.985] - num sample: 207, num sample needed: 2048
[INFO] [462.248] - num sample: 208, num sample needed: 2048
[INFO] [462.508] - num sample: 209, num sample needed: 2048
[INFO] [462.768] - num sample: 210, num sample needed: 2048
[INFO] [463.025] - num sample: 211, num sample needed: 2048
[INFO] [463.281] - num sample: 212, num sample needed: 2048
[INFO] [463.541] - num sample: 213, num sample needed: 2048
[INFO] [463.805] - num sample: 214, num sample needed: 2048
[INFO] [464.065] - num sample: 215, num sample needed: 2048
[INFO] [464.324] - num sample: 216, num sample needed: 2048
[INFO] [464.586] - num sample: 217, num sample needed: 2048
[INFO] [464.847] - num sample: 218, num sample needed: 2048
[INFO] [465.107] - num sample: 219, num sample needed: 2048
[INFO] [465.371] - num sample: 220, num sample needed: 2048
[INFO] [465.632] - num sample: 221, num sample needed: 2048
[INFO] [465.892] - num sample: 222, num sample needed: 2048
[INFO] [466.157] - num sample: 223, num sample needed: 2048
[INFO] [466.417] - num sample: 224, num sample needed: 2048
[INFO] [466.680] - num sample: 225, num sample needed: 2048
[INFO] [466.940] - num sample: 226, num sample needed: 2048
[INFO] [467.211] - num sample: 227, num sample needed: 2048
[INFO] [467.478] - num sample: 228, num sample needed: 2048
[INFO] [467.740] - num sample: 229, num sample needed: 2048
[INFO] [468.003] - num sample: 230, num sample needed: 2048
